Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	abs_col_area	div_col	dist_to_isthmus
Simulation_1	1.998	0.304	0.175	0.078	1.75	0.549	1	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5001.03736907651
Simulation_2	2.501	0.156	0.238	0.041	2.377	0.323	2	0.05	12000	1000	1	500	111	1	0	1	3	3	0	1	0.843057176196033	1445	3	3872.60494060879
Simulation_3	1.495	0.453	0.112	0.114	1.123	0.775	3	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	7665.80614018898
Simulation_4	1.747	0.23	0.206	0.023	2.691	0.889	4	0.05	12000	1000	1	500	111	1	0	1	12	12	0	1	1	1714	5	4411.42358945317
Simulation_5	2.752	0.527	0.081	0.096	1.436	0.436	5	0.05	12000	1000	1	500	111	1	0	1	14	14	0	1	1	1714	3	4590.68215608864
Simulation_6	2.25	0.082	0.144	0.059	0.809	0.662	6	0.05	12000	1000	1	500	111	1	0	1	2	2	0	0	-1	-1	-1	4154.99637525818
Simulation_7	1.244	0.379	0.269	0.132	2.064	0.21	7	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	5235.63533779198
Simulation_8	1.369	0.193	0.128	0.105	1.907	0.266	8	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	5361.69964017827
Simulation_9	2.375	0.49	0.253	0.032	0.652	0.719	9	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	8445.66749840336
Simulation_10	2.878	0.045	0.191	0.141	1.279	0.493	10	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	7028.50500852509
Simulation_11	1.872	0.342	0.065	0.068	2.534	0.945	11	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	1512.90265010755
Simulation_12	1.621	0.119	0.285	0.087	1.593	0.832	12	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	6650.3942791647
Simulation_13	2.627	0.416	0.159	0.014	2.848	0.379	13	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	0.900233372228705	1543	1	4257.77064182026
Simulation_14	2.124	0.267	0.097	0.123	2.221	0.606	14	0.05	12000	1000	1	500	111	1	0	1	183	183	0	1	0.0390898483080513	67	2	6158.13386792219
Simulation_15	1.118	0.564	0.222	0.05	0.966	0.153	15	0.05	12000	1000	1	500	111	0	124	1	4793	4793	0	1	0.847141190198366	1452	5	6615.85951898636
Simulation_16	1.181	0.286	0.261	0.064	1.201	0.408	16	0.05	12000	1000	1	500	111	1	0	1	837	837	0	1	0.99708284714119	1709	3	555.97550588742
Simulation_17	2.187	0.583	0.136	0.137	2.456	0.86	17	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	1939.36644318789
Simulation_18	2.69	0.138	0.073	0.027	1.828	0.181	18	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	6772.00870778072
Simulation_19	1.684	0.434	0.199	0.1	0.574	0.634	19	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	1552.92738212813
Simulation_20	1.935	0.063	0.167	0.046	2.142	0.747	20	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	9144.61845421503
Simulation_21	2.941	0.36	0.293	0.118	0.887	0.294	21	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	6287.78994692632
Simulation_22	2.438	0.212	0.23	0.009	1.515	0.973	22	0.05	12000	1000	1	500	111	1	0	1	2	2	0	0	-1	-1	-1	4575.03916427891
Simulation_23	1.432	0.508	0.104	0.082	2.77	0.521	23	0.05	12000	1000	1	500	111	1	0	1	1775	1775	0	1	0.949241540256709	1627	257	4637.2799523033
Simulation_24	1.306	0.1	0.183	0.128	2.613	0.464	24	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	7368.24017502957
Simulation_25	2.312	0.397	0.057	0.055	1.358	0.917	25	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	7485.19062307821
Simulation_26	2.815	0.249	0.12	0.091	0.73	0.238	26	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5400.59266823569
Simulation_27	1.809	0.546	0.246	0.018	1.985	0.691	27	0.05	12000	1000	1	500	111	1	0	1	2	2	0	0	-1	-1	-1	8031.2255598545
Simulation_28	1.558	0.175	0.089	0.146	1.044	0.577	28	0.05	12000	1000	1	500	111	1	0	1	5	5	0	0	-1	-1	-1	3898.24214132225
Simulation_29	2.564	0.471	0.214	0.073	2.299	0.125	29	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	7302.23876850186
Simulation_30	2.061	0.026	0.277	0.109	2.926	0.804	30	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	6672.39080605025
Simulation_31	1.055	0.323	0.151	0.037	1.672	0.351	31	0.05	12000	1000	1	500	111	0	31	1	6740	6740	0	1	0.990665110851809	1698	2467	3736.12202502515
Simulation_32	1.086	0.165	0.202	0.089	2.26	0.676	32	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	6181.66858616111
Simulation_33	2.092	0.462	0.077	0.016	1.005	0.224	33	0.05	12000	1000	1	500	111	1	0	1	661	661	0	1	0.996499416569428	1708	22	6301.7232439476
Simulation_34	2.595	0.017	0.14	0.125	1.632	0.903	34	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	6934.47901439331
Simulation_35	1.589	0.314	0.265	0.052	2.887	0.45	35	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	4645.64126494622
Simulation_36	1.841	0.091	0.108	0.107	1.319	0.337	36	0.05	12000	1000	1	500	111	1	0	1	207	209	2	1	0.827887981330222	1419	12	4722.3172645792
Simulation_37	2.847	0.388	0.234	0.034	2.574	0.79	37	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	4998.78882387969
Simulation_38	2.344	0.24	0.297	0.143	1.946	0.111	38	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	0.888564760793466	1523	1	3356.88570176958
Simulation_39	1.338	0.536	0.171	0.071	0.691	0.563	39	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	5066.52940654678
Simulation_40	1.464	0.054	0.25	0.025	0.848	0.62	40	0.05	12000	1000	1	500	111	1	0	1	28	28	0	1	0.938156359393232	1608	26	798.366604598277
Simulation_41	2.47	0.351	0.124	0.098	2.103	0.167	41	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	0.900233372228705	1543	1	4074.77396494923
Simulation_42	2.972	0.202	0.061	0.062	2.73	0.846	42	0.05	12000	1000	1	500	111	1	0	1	3	3	0	0	-1	-1	-1	6358.5869410463
Simulation_43	1.967	0.499	0.187	0.134	1.475	0.394	43	0.05	12000	1000	1	500	111	1	0	1	538	538	0	1	1	1714	37	4775.03730637112
Simulation_44	1.715	0.277	0.155	0.007	2.417	0.507	44	0.05	12000	1000	1	500	111	1	0	1	565	565	0	1	1	1714	474	4122.71125595801
Simulation_45	2.721	0.573	0.281	0.08	1.162	0.959	45	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	6615.85951898636
Simulation_46	2.218	0.128	0.218	0.043	0.534	0.28	46	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	4217.5203367719
Simulation_47	1.212	0.425	0.093	0.116	1.789	0.733	47	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	1	1714	2	6063.32368592065
Simulation_48	1.149	0.147	0.116	0.148	2.966	0.988	48	0.05	12000	1000	1	500	111	1	0	1	13	13	0	0	-1	-1	-1	5192.31945140488
Simulation_49	2.155	0.444	0.242	0.075	1.711	0.535	49	0.05	12000	1000	1	500	111	1	0	1	20	20	0	1	0.819136522753792	1404	4	3306.24181328875
Simulation_50	2.658	0.295	0.179	0.112	1.083	0.761	50	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	5577.45558092909
Simulation_51	1.652	0.592	0.053	0.039	2.338	0.309	51	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	0.900233372228705	1543	1	3503.21288259383
Simulation_52	1.904	0.221	0.273	0.13	0.77	0.195	52	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	6126.21701104939
Simulation_53	2.91	0.518	0.148	0.057	2.025	0.648	53	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	0.812135355892649	1392	1	5057.72914224792
Simulation_54	2.407	0.073	0.085	0.093	2.652	0.422	54	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	9061.21221229422
Simulation_55	1.401	0.369	0.21	0.021	1.397	0.874	55	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	4999.22665946651
Simulation_56	1.275	0.258	0.069	0.048	1.554	0.818	56	0.05	12000	1000	1	500	111	1	0	1	7	7	0	1	1	1714	3	9144.61845421503
Simulation_57	2.281	0.555	0.195	0.121	2.809	0.365	57	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	0.900233372228705	1543	1	2866.54190893857
Simulation_58	2.784	0.11	0.257	0.012	2.181	0.592	58	0.05	12000	1000	1	500	111	1	0	1	175	175	0	0	-1	-1	-1	4643.76457843378
Simulation_59	1.778	0.406	0.132	0.084	0.926	0.139	59	0.05	12000	1000	1	500	111	0	32	1	3596	3596	0	0	-1	-1	-1	7733.46678168735
Simulation_60	1.527	0.036	0.226	0.066	1.868	0.252	60	0.05	12000	1000	1	500	111	0	1	1	1325	1325	0	1	0.67269544924154	1153	215	3651.6495545647
Simulation_61	2.532	0.332	0.1	0.139	0.613	0.705	61	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	5816.71428506372
Simulation_62	2.029	0.184	0.163	0.03	1.24	0.478	62	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	6560.58842124942
Simulation_63	1.024	0.481	0.289	0.103	2.495	0.931	63	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	8598.47384966496
